Ti mɛ̀ ɓɔ̀t yɛ̂m.	Ti me bot yem.
Hı̀tɛ̀ndi hyada tɔ̀ lı̀tɔn jada ɓa ganyɔ̄di ɓe munu mbēn. (Mat.5,18).	Hitendi hyada to liton jada ba ganyodi bé munu mbén. (Mat.5,18).
I[204]ni sǔglù ı̀ gwèe ŋgàndàk ɓɔ̀ŋgɛ.	I[204]ni suglu i gwéé ñgandak boñge.
Mbus ı̀ kuhi nyɛ̄ kı̀i ǹluk pāgo.	Mbus i kuhi nye kii nluk pagô.
Mbus ı̀ kuhi nyɛ̄ kı̀i ǹluk pāgo.	Mbus i kuhi nye kii nluk pagô.
Ɓɔ̀ŋgɛ ɓa ǹhôhlaha ɓaɓɔ̀blà.	Boñge ba nhôhlaha babobla.
Hı̀ɓèmà hi ye hōmbol hilòbà.	Hibéma hi yé hômbôl hilôba.
Lɔ̀na mɛ̀ hɛ̀là pân.	Lona me hela pan.
Tòlɛ̀ mànda (MLY).	Tôle manda (MLY).
Mànyûŋ; lòknyûŋ.	Manyuñ; lôknyuñ.
Mǎn à njɛ̄ tɔptɔp.	Man a nje toptop.
Hɛɛ pân i leŋnɛ?	Hee pan i léñne?
Ù ɓes ɓâŋ mɛ̀ nlōm ŋgwɔ̄ à ntāt mbai sǔglù!	U bés bañ me nlôm ñgwo a ntat mbai suglu!
Mɛ̀ nı̀ŋi ı̄ kàgà.	Me niñi i kaga.
Ǹsɔn mbagdà.	Nson mbagda.
Ŋgùy lı̀nyùmà.	Ñguy linyuma.
Dı̀ ǹyeelaha jı̀mb dı̀ ŋ̀o.	Di nyéélaha jimb di ñô.
Màm màɓɛ ma nlɔ̀na mɓùma.	Mam mabe ma nlona mbuma.
Yik mûnlom, yik mudàa.	Yik munlôm, yik mudaa.
Lı̀ɛ̀ɛ̀k li mût màɔ̀k li nlɔ̀ɔ̀ hihègà.	Lieek li mut maok li nloo hihéga.
Ɓàkɔ̀kɔ̂n ɓa jobōk wàdawadā.	Bakokon ba jôbôk wadawada.
Hudlaha nyɛ̄ ŋ̀kòò ū; ɓa nhudlaha miŋkòò.	Hudlaha nye ñkôô u; ba nhudlaha miñkôô.
mbay yeē ı̀ yè haa	mbay yéé i yé haa
Siya ı̄ ta ɓē lɔŋgɛ̂ inyùu ɓòdàa.	Siya i ta bé loñge inyuu bôdaa.
Ǹlùmɛ̀ lı̀kɔ̀da.	Nlume likoda.
Mɛ̀ yè, ù yè, à yè, dı̀ yè, nı̀ yè, ɓa yê.	Me yé, u yé, a yé, di yé, ni yé, ba yé.
Pagâl lı̀kàŋ.	Pagal likañ.
Bı̀kààt bini bi mɓogâ.	Bikaat bini bi mbôga.
Ɓɔ̀ŋgɛ ɓa nhēgna bikek (i) njɛ̀l.	Boñge ba nhégna bikék (i) njel.
Kɛlɛ̂l lı̀wɔ.	Kelel liwo.
Ù ńnyùŋgul mɛ̂!	U nnyuñgul me!
À m̂puhɛ liwanda jee ni jɔ̌mb.	A mpuhe liwanda jéé ni jomb.
Mǎn à ŋŋèe hɛɛ?	Man a ññéé hee?
Dı̀ ŋ̀uuɓaha inyùu ɓāda mɔ̀ni,.	Di ñuubaha inyuu bada moni,.
Hı̀glěsı̀à hi Adnà.	Higlésia hi Adna.
Kàkaò wɛ̀m à ǹnûŋlà.	Kakaô wem a nnuñla.
Tibil pɔ̄t hɔp wɔŋ (u) liɓê. Dı̀lɛ̀ɛ̀njùu di jòp ɓâŋ mù!	Tibil pot hop woñ (u) libé. Dileenjuu di jôp bañ mu!
Mɛ̀ m̂pɔmbɛ koō matoà, u lɛ̂t yāga keŋŋ keŋŋ! .	Me mpombe kôô matôa, u let yaga kéññ kéññ! .
Mı̀ŋkɔ̀ŋ mi nce ɓas ɓas.	Miñkoñ mi ntjé bas bas.
Lı̀umb li bitòŋ; lı̀umb li ŋgɔ̂k.	Liumb li bitôñ; liumb li ñgok.
Ù sàhɓana ɓâŋ yaŋaŋ tawèdè!	U sahbana bañ yañañ tawédé!
Set ō, ɛmblɛ kı̄ŋ Hı̀lòlômb.	Sét ô, emble kiñ Hilôlômb.
À gwèe lɔŋgɛ lūk i ŋkɔ̀ŋ.	A gwéé loñge luk i ñkoñ.
Mùdàa à biyògi ɓalom.	Mudaa a biyôgi balôm.
Ikède màŋgànd...ɓa gweē dı̀lùŋ, nı̀ mbɛt, nı̀ dı̀ŋgɔ̀mà, nı̀ dı̀ɔŋ, nı̀ wây (Yès 5,12).	Ikédé mañgand...ba gwéé diluñ, ni mbet, ni diñgoma, ni dioñ, ni way (Yés 5,12).
Ikède màŋgànd...ɓa gweē dı̀lùŋ, nı̀ mbɛt, nı̀ dı̀ŋgɔ̀mà, nı̀ dı̀ɔŋ, nı̀ wây (Yès 5,12).	Ikédé mañgand...ba gwéé diluñ, ni mbet, ni diñgoma, ni dioñ, ni way (Yés 5,12).
Ikède màŋgànd...ɓa gweē dı̀lùŋ, nı̀ mbɛt, nı̀ dı̀ŋgɔ̀mà, nı̀ dı̀ɔŋ, nı̀ wây (Yès 5,12).	Ikédé mañgand...ba gwéé diluñ, ni mbet, ni diñgoma, ni dioñ, ni way (Yés 5,12).
Hı̀tot hi nnɛ̄nɛ ɓeêmm.	Hitôt hi nnene béémm.
Ti màhɔŋɔ̂l.	Ti mahoñol.
Ŋgàndàk yèe hɔ̄p ı̀ ŋ̀eŋlaha nyɛ mı̀mb mee.	Ñgandak yéé hop i ñéñlaha nye mimb méé.
À ǹtees mɛ kùù.	A ntéés me kuu.
Mɛ̀ nlò matuba ma ńyòl; lò hı̀ɓɛ̀ɛ.	Me nlô matuba ma nyôl; lô hibee.
Lı̀ɓamb mɔ̀ɔ.	Libamb moo.
Ǹsàŋ u ye ı̄ pōla yês.	Nsañ u yé i pôla yés.
Muy nyɛn ɓa noŋòl.	Muy nyen ba nôñôl.
Lı̀òhɓàk jee li nhɔ̄ŋlaha nyɛ lı̀ŋgwàŋ.	Liôhbak jéé li nhoñlaha nye liñgwañ.
Sɛ̂r yɛ̀m ı̀ yè lam.	Ser yem i yé lam.
Hı̀kwàà hi ye lɔ̄ŋgɛ ı̄ jɛ̄ nı̀ sûp hı̀òndɛ̀.	Hikwaa hi yé loñge i je ni sup hiônde.
Eŋa i kwadɛ.	Éña i kwade.
Màyɔ̀ɔ̀ ma ńyòl.	Mayoo ma nyôl.
Ŋgòs ı̀ nlà hɔp kı̂yaga.	Ñgôs i nla hop kiyaga.
À m̂ɓehel nyɛ hyèe i ŋŋɔ̄.	A mbéhél nye hyéé i ñño.
Ɓɔ̀n ɓana ɓa bigwēeha hilɔ hyada.	Bon bana ba bigwééha hilo hyada.
Kii i mɓuuhaha nyɛ?	Kii i mbuuhaha nye?
Ɓèŋgɛ kı̀i ɓa mmèmlaha maŋgɛ mudàa.	Béñge kii ba mmémlaha mañge mudaa.
Biɓɛ̀ɓɛlà bi nsɛ̀m i ndèè sèp.	Bibebela bi nsem i ndéé sép.
À ńyı̄ minsɔn.	A nyi minson.
"Inyùuhālà ɓèe hyɛ̀la mı̀ŋɛm, ni hyɛ̂lɓa kı̀, lɛ bı̀ɓeba binân bi sehā..." MƁ 3,19.	"Inyuuhala béé hyela miñem, ni hyelba ki, le bibéba binan bi séha..." MB 3,19.
Mɛ̀ ncēbel sogol cèe.	Me ntjébél sôgôl tjéé.
Nàŋ yɛ̂m i ye i biɓam.	Nañ yem i yé i bibam.
Hɛɛ ù m̂ɓumul ɓɔ?	Hee u mbumul bo?
À nhɔ̀y nsɔ̄n.	A nhoy nson.
Hɛɛ ù ǹloŋlɛnɛ bitamb bi yɔndɔ? .	Hee u nlôñlene bitamb bi yondo? .
Ɓàkɔ̀p kodi ı̄nyùu dı̀koo di ɓôt (Màn 18,21).	Bakop kôdi inyuu dikôô di bôt (Man 18,21).
Màdà têk.	Mada ték.
Mɛ̀ yènɛ̀ hana ŋŋɔ̄ (u) ŋwɛtmbay nu à ŋkɔ̀n.	Me yéne hana ñño (u) ñwetmbay nu a ñkon.
Fàhà ŋgaa (Schürle).	Faha ñgaa (Schürle).
Ɓɔ̌n ɓa nlɔ̄nd i lı̀gwelel.	Bon ba nlond i ligwélél.
Mùt màndùdù à mòdi i ŋwɛ̀mɛl.	Mut mandudu a môdi i ñwemel.
Ŋkɔ̀kɔ̂n à ǹseŋɓa bɛɛ.	Ñkokon a nséñba bee.
Mǎŋkeē à ǹyilā nholôs dı̀nùni (i) mbāy.	Mañkéé a nyila nhôlôs dinuni (i) mbay.
Ɓòt ɓa nhı̀m kii i ndāp ɓɔ̀ma?	Bôt ba nhim kii i ndap boma?
Mǎŋgòlò mɛ̂m mâ!	Mañgôlô mem ma!
"Inyùu bı̀ɓàŋga gwɔŋ ki nyɛ̄n ù gakùhul mbagı̄ nōgôs" Màteò 12:37.	"Inyuu bibañga gwoñ ki nyen u gakuhul mbagi nôgôs" Matéô 12:37.
Bı̀ɓɛ̀ɓɛlà gwes bi ŋohà.	Bibebela gwés bi ñôha.
À ŋkɔ̀n dimı̀da .	A ñkon dimida .
Lı̀kɔ̀ɔ̀gɛnɛ li ntodoo li ŋkās.	Likoogene li ntôdôô li ñkas.
I[204] lɔ̀ lɛ ù ɓe gweê kı̄ mɛ̀ ma gweê.	I[204] lo le u bé gwéé ki me ma gwéé.
Ɓòt ɓa Jean Bikògoo ɓa nsāk Asikò.	Bôt ba Jéan Bikôgôô ba nsak Asikô.
"Màteâk ma Yehōvà ma ye màliga" Hyèm 19:10.	"Matéak ma Yéhôva ma yé maliga" Hyém 19:10.
Usa i nsàŋ nyagà.	Usa i nsañ nyaga.
M̀ɓedês nyùŋgɛ̀ à ŋ̀ɔŋ ɓɛ̂k.	Mbédés nyuñge a ñoñ bek.
Ɓa bijēlɛ ɓes sàŋ.	Ba bijéle bés sañ.
Mùt à ŋgwı̀ya bitɛ̄mbɛɛ.	Mut a ñgwiya bitembee.
Sɔ jàm, ǹlom jàm.	So jam, nlôm jam.
Ɓa nlondos ması̂ŋ.	Ba nlôndôs masiñ.
À heeba kùmjɔ̂k.	A hééba kumjok.
Lı̀kàdàk li ŋkɔ̀ŋ.	Likadak li ñkoñ.
Kɔŋɔp ndi dı̀ gakɔ̀la i nàŋ.	Koñop ndi di gakola i nañ.
Bı̀kɔyɛ bı̄ nsɛ̀ndı̀.	Bikoye bi nsendi.
Ega mɛ̀, u eba mɛ̀ njɛ̀l inyùu jòy jɔŋ (Hyèm 31,4).	Éga me, u éba me njel inyuu jôy joñ (Hyém 31,4).
"Kiŋŋ̀ɛm ı̀ mɓɔ̀k mbogı̄.." Rom 2:15.	"Kiññem i mbok mbôgi.." Rôm 2:15.
Bı̀jɛk bi mɓam	Bijek bi mbam
Lı̀ɓuy li ńyèe.	Libuy li nyéé.
Lı̀poo li mpùmɛ̀ li ŋòm hoòm.	Lipôô li mpume li ñôm hôôm.
Hɛblɛnɛ mɛ̀ koy.	Heblene me kôy.
Lı̀ŋgwɛ̀ndɛ̀ jɔŋ li nhōo mɛ̂.	Liñgwende joñ li nhôô me.
Ɓa mpēhlaha miŋɔ.	Ba mpéhlaha miño.
Yɔ̌m i ncakala.	Yom i ntjakala.
Kòba ɓòt ɓa ɓe yo ɓāpɛ bı̀kwèè.	Kôba bôt ba bé yô bape bikwéé.
Koy ı̀ mɓɛ̄t ŋgandàk!	Kôy i mbet ñgandak!
Lı̀kidı̂k li ncamā ni lɔ̀ŋ.	Likidik li ntjama ni loñ.
Lɔ̀ɔ kwı̀hlɛ mɛ̀ ndap.	Loo kwihle me ndap.
Lı̀òmòk li tuyɛ̂.	Liômôk li tuye.
Jàm lı̂ li ye hālà.	Jam li li yé hala.
Ùm à ɓênà yèe kɛl mı̀ntùk; ǔm à nsāk; hyèmbi hi ûm.	Um a béna yéé kel mintuk; um a nsak; hyémbi hi um.
Lı̀àt mbɔt.	Liat mbot.
«Mɛ̀ ntɛ̄hɛ ncɛ̂p ɛ̂nd ŋkana» (Yèr.1,11).	«Me ntehe ntjep end ñkana» (Yér.1,11).
Mɛ̀ njɛ̄ ɓe bilay.	Me nje bé bilay.
Ŋ̀kwɛɛ unu u mmâl ɓebâ, ù nlà jɛ wɔ.	Ñkwee unu u mmal béba, u nla je wo.
M̀ɓoŋgo mût.	Mbôñgô mut.
Nyɛ nūnu à nlɔ̀ heghèk hana! .	Nye nunu a nlo héghék hana! .
Lɔ̀na mɛ̀ bı̀kɛ̀y.	Lona me bikey.
Tumblɛ̀ mût.	Tumble mut.
Màŋgɛ nunu à nhādɓɛnɛ bilı̀yà gwee; ù hadɓɛnɛ ɓâŋ mɛ̀ .	Mañge nunu a nhadbene biliya gwéé; u hadbene bañ me .
À ǹtêŋɓaha lilàŋ, ɓa ntêŋɓaha malàŋ.	A ntéñbaha lilañ, ba ntéñbaha malañ.
Kapendà à m̂ɓeŋēl mɛ nàŋ.	Kapénda a mbéñél me nañ.
Ɓa nsɛhɛ̄l nyɛ yàŋ ndɔndɔ.	Ba nsehel nye yañ ndondo.
M̀ɓòmà u bijɛk.	Mbôma u bijek.
Mɛ̀ m̂ɓendɛ̄ ɓɔŋgɛ nsɔ̄n.	Me mbénde boñge nson.
Inyùù yɛ̂n?	Inyuu yen?
Ɓiinɛ yɛ̂m mɔnı̄ lɛ pos.	Biine yem moni le pôs.
Hàa mɛ̀ mǎn nu à ŋkɛ̀ malēp!	Haa me man nu a ñke malép!
Màtam ma ŋkahal yɔ̄ı̂.	Matam ma ñkahal yoi.
Yà i ńyonos binâ (hyèmbi hi ńyonos dinâ).	Ya i nyônôs bina (hyémbi hi nyônôs dina).
Mùt nunu à bikɔ̀n maɓàây.	Mut nunu a bikon mabaay.
Yesù à biɔ̀k ɛ faigè, nı̀ yɔ i yuyı̀.	Yésu a biok e faigé, ni yo i yuyi.
Kɛp kààt.	Kep kaat.
Ɓa ɓē koŋòò ɓàkɔ̀rɓɛla.	Ba bé kôñôô bakorbela.
Bı̀ɓùp bi bilem.	Bibup bi bilém.
À ǹsûgɓaha mɛ màsɔ̀ŋ, dı̀ ǹsûgɓaha masɔ̀ŋ.	A nsugbaha me masoñ, di nsugbaha masoñ.
Hicɔ hi mɔ̂dlà.	Hitjo hi modla.
Mùt à ǹti ŋgɔ̂nd yè liɓı̄ı̂ gwı̌hà bi tɔyɔ̂k, inyǔlɛ̄ ɓa nsoŋgā nyɛ lı̀yɔ̀ŋ ŋ̀kùs. .	Mut a nti ñgond yé libii gwiha bi toyok, inyule ba nsôñga nye liyoñ ñkus. .
Kɔ̀n wɔn u ntulha mɛ sǔglù; ɓa ntulha likɔ̀da.	Kon won u ntulha me suglu; ba ntulha likoda.
Kuhul mɛ̀ bı̀kai bini, sɔhɔ!	Kuhul me bikai bini, soho!
"Mbuk mbɛ̀bi à ɓa hôŋ" Yòh.6:18.	"Mbuk mbebi a ba hôñ" Yôh.6:18.
Ù ntèèŋga mɛ̂.	U ntééñga me.
Si làgàl ı̀ ŋkwɔ̀ ɓe hyaŋgaa.	Si lagal i ñkwo bé hyañgaa.
Tun yɔn i mɓāgal mandap mes.	Tun yon i mbagal mandap més.
Lı̀lɛ̀bɛ li ɓê mbɔt ɓòdàà ɓa kwâŋ.	Lilebe li bé mbot bôdaa ba kwañ.
Ù m̂ɓeŋa lɛ̂n.	U mbéña len.
Njɛɛ à ǹhimbı̂s likòga lini?	Njee a nhimbis likôga lini?
Halā à mɓɔ̀ŋ ɓe tɔ jàm.	Hala a mboñ bé to jam.
À yè mùt lı̀hyuâ ? ...lı̀hyua ?.	A yé mut lihyua ? ...lihyua ?.
Kòlòl wɔ̌m.	Kôlôl wom.
"Mɛ̀ ntēe wɛ lɛ̌n ı̀ni...i nùp nı̀ kwès, i òbòs nı̀ kuubà, i ɔ̄ŋ nı̀ ɓɛ̀l" Yèrèmià 1,10.	"Me ntéé we len ini...i nup ni kwés, i ôbôs ni kuuba, i oñ ni bel" Yérémia 1,10.
Mùt à ɓoyi.	Mut a bôyi.
Mbɔk ŋwɛ̀ɛ, ŋkɔ̀ŋ ɓı̀m!	Mbok ñwee, ñkoñ bim!
Màsɛk ma njɛ ńyòl ndap wɔsô.	Masek ma nje nyôl ndap wosô.
Kiha hyɔ̀l.	Kiha hyol.
Ǹyòl wɔŋ u nsɔ̀ɔ̀ nɔp.	Nyôl woñ u nsoo nop.
Hiı̂ mı̌s.	Hii mis.
Hı̀kɔ̀k hi ɓum hi nlɛ̀t mae.	Hikok hi bum hi nlet maé.
Eē ɓòlo i ye hāna maɔ̄ŋ ma ndap ı̀ni!	Éé bôlô i yé hana maoñ ma ndap ini!
Lı̀ɓua li ŋgaa (MLY).	Libua li ñgaa (MLY).
Pok ndāp.	Pôk ndap.
Jı̀s jɛ̂m li ŋkɔ̄ŋg inyùu njı̄ihà...bı̀hès gwɛ̂m kı̀ biŋkɔ̄ŋg (Hyèm 31,10,11).	Jis jem li ñkoñg inyuu njiiha...bihés gwem ki biñkoñg (Hyém 31,10,11).
À nnùŋul miŋgweya mi cɔbı̄.	A nnuñul miñgwéya mi tjobi.
Nɔ̌p à nnōl minyòl ŋwɔmisô.	Nop a nnôl minyôl ñwomisô.
Mùdàa à ǹlɛp nlom = nimı̂s ǹlòm = ɓodôp.	Mudaa a nlep nlôm = nimis nlôm = bôdôp.
Jòmb jɛ̂m li nsûgla i hı̀ɓɛ̀ɛ, ndap ı̀ ǹsûgla maɓap.	Jômb jem li nsugla i hibee, ndap i nsugla mabap.
Ŋgɔ̀nd yɛ̀m ı̀ni ı̀ biwɔ̄ likɔ̀ndɔ̀ li ɓɛɓɛɛ.	Ñgond yem ini i biwo likondo li bebee.
Mɛ̀ nhyɔ̄s ŋkòò.	Me nhyos ñkôô.
Mɛ̀ ŋ̀is ŋwɔm mi maen.	Me ñis ñwom mi maén.
À m̂pemhɛnɛ nyɛ mǎn i mɔ̀k lɛ̀n juū.	A mpémhene nye man i mok len juu.
Mɛ̀ ganyɔdi ànɛ̀ i ɓeba hisi.	Me ganyodi ane i béba hisi.
Ŋgùmbgà ı̀ nɔ̌p ı̀ ŋ̀kahal noogà.	Ñgumbga i nop i ñkahal nôôga.
Mɛ̀ gwèe jòm li kɔ̂p.	Me gwéé jôm li kop.
Ɓas hı̀kèŋ.	Bas hikéñ.
Lihɛ̀gɛ̀k Nyambɛ à bihɛ̀k mût; lı̀hɛ̀gɛ̀k jɔŋ li ŋgaa li mɓēp ɓe.	Lihegek Nyambe a bihek mut; lihegek joñ li ñgaa li mbép bé.
Mɛ̀ nlɛ̄ŋ nyɔɔ̄ ŋgàndàk.	Me nleñ nyoo ñgandak.
Lı̀waâk li ɓôt ɓa ɓolō.	Liwaak li bôt ba bôlô.
Mbay nyɛ̀ga ı̀ ŋgwèlha hisɔ̂n.	Mbay nyega i ñgwélha hison.
Hini hı̀kekègà hi ɓeyi kı̀i nyɔ̀ɔ.	Hini hikékéga hi béyi kii nyoo.
Pɔ̀nɓà bı̀jɛk.	Ponba bijek.
Nunu mùt à ŋkɛ̀ biɓèɓèndi.	Nunu mut a ñke bibébéndi.
Mı̀nsɔ̀ŋgi ŋwɔn mi nêdha nyɛ kègsɛ̀; dı̀ binèdha ŋkaa.	Minsoñgi ñwon mi nédha nye kégse; di binédha ñkaa.
Njɔ̀k ɛ, njɔ̀k lep, njɔ̀k ɔmb, njɔ̀k yi, njɔ̀k òk, njɔ̀k lı̀ɓê.	Njok e, njok lép, njok omb, njok yi, njok ôk, njok libé.
Ɓěsnà wɛ̂ dı̀ mɓùghà.	Bésna we di mbugha.
Ù cɔ ɓâŋ mɛ̀ mbɔt!	U tjo bañ me mbot!
Sombol mɛ̀ bı̀napkɛ̀n inyùu ɓàkèn.	Sômbôl me binapken inyuu bakén.
À mɓùs ɓe liɓùhùk li sɔ mût.	A mbus bé libuhuk li so mut.
Lı̀tı̀ŋil li kɛmbɛ̂ lini.	Litiñil li kembe lini.
À ǹsonōl nyɛ ikède ndāp.	A nsônôl nye ikédé ndap.
Mɛ̀ mɓòŋol hilɛ̀ŋgà hyɔŋ ŋ̀gwas ǹlɔp.	Me mbôñôl hileñga hyoñ ñgwas nlop.
Kòp so i ye lɔ̄ŋgɛ ı̄nyùu m̂ɓɛ̀.	Kôp sô i yé loñge inyuu mbe.
Ù ŋ̀eba ɓe nyɛ ǹsɔn a ɓɔ̂ŋ ndi ù ŋ̀ɛp nyɛ i yı̀mı̂l.	U ñéba bé nye nson a boñ ndi u ñep nye i yimil.
Kɔ̀mbɔ̀l ɓòŋgo =kɔ̀mbɔ̀l m̂maŋ ŋkɔ̀k.	Kombol bôñgô =kombol mmañ ñkok.
Timil mɛ ɓɔga inyùu màn nunu mɛ̀ nsòmbol sɔ̂ (naŋ).	Timil me boga inyuu man nunu me nsômbôl so (nañ).
Ŋwàà wɛ̂m à yè hı̀kwɛhkɛɛ.	Ñwaa wem a yé hikwehkee.
Ŋwàà wɛ̂m à yè hı̀kwɛhkɛɛ.	Ñwaa wem a yé hikwehkee.
Màlêt à bikɛ̀ i nɔ̀y.	Malét a bike i noy.
Kii wɛ̀ ù m̂ɓɛmɛ̄p ha lɛ̀n!	Kii we u mbemep ha len!
Kundûs ndàmbà bı̀jɛk.	Kundus ndamba bijek.
À ǹtuŋha i pɔɔ.	A ntuñha i poo.
À mɓèna lɔ̂ i mɛ̌nı̄.	A mbéna lo i meni.
Yèènɛ yɔ̂k; njɔ̀k yɔ̂k; [njɔ̀k yɔ̀k].	Yééne yok; njok yok; [njok yok].
Lı̀tablàk jɔŋ li nhɔ̄ɔ melēs kɔ̂n.	Litablak joñ li nhoo mélés kon.
Ti mɛ̀ bı̀hòòya biɓaà, mɛ̀ nhēl ŋgɔ̂nd .	Ti me bihôôya bibaa, me nhél ñgond .
À nlɔ̄ŋhɛnɛ hyee i ndāp yɔ̀ndɔ.	A nloñhene hyéé i ndap yondo.
Mɛ̀ ǹnɔl ɓasɔ̀wa ɓācògɛ mɛ̀ amb yàni.	Me nnol basowa batjôge me amb yani.
À yòŋol mǎn ŋ̀kuu makay, à seŋ wɔ nı̀ ndɔ̀bɔ̀ nı̀ hı̀cɔ (Màn 2,3).	A yôñôl man ñkuu makay, a séñ wo ni ndobo ni hitjo (Man 2,3).
Lı̀kù li po.	Liku li pô.
À ǹsûmha nyɛ ŋ̀kòò i jɔ̀ɔ, dı̀ ǹsûmha miŋkòò i ɓòɓôk.	A nsumha nye ñkôô i joo, di nsumha miñkôô i bôbôk.
Kwayâk mût.	Kwayak mut.
Ǹsɔn u ŋgwelà.	Nson u ñgwéla.
Bı̀lòŋ bı̀ɓɛ bi ntônɓaha wɛ̂!	Bilôñ bibe bi ntônbaha we!
Lı̀ɓulɓɛ̀gɛ̀ jee li mpōna so lɛ ı̀ ŋkɛ̀ hilɔ̄.	Libulbege jéé li mpôna sô le i ñke hilo.
Kii ù ntāŋgal halà?	Kii u ntañgal hala?
Nyı̀ŋgı̀s ɓàànɛ̀.	Nyiñgis baane.
Ɓaŋgâl lı̀ɓàdò, ɓaŋgâl mbɔt.	Bañgal libadô, bañgal mbot.
Mɛ̀ gwèe ǹhyomok i pɛ̀s ndôk Tindı̄ i Mɔ̀dɛ̀.	Me gwéé nhyômôk i pes ndôk Tindi i Mode.
Pago i ye sı̀tià mòŋgo.	Pagô i yé sitia môñgô.
Mùt à nlēmlɛ ŋkuu.	Mut a nlémle ñkuu.
Dı̀lɔ di njɛlɛl nı̀ di bı̀ɓòmòl (Mı̀nlend mi Yerèmià 1,7).	Dilo di njelel ni di bibômôl (Minlénd mi Yérémia 1,7).
Jùù li jɛ li yenɛ̀ i mbāy mùt nunu!	Juu li je li yéne i mbay mut nunu!
Dı̀ nlà ɓe jɛ bijɛk ŋgı̀ ǹlamb; ǹlamb u yê sɔsɔ̄ ɓòlo.	Di nla bé je bijek ñgi nlamb; nlamb u yé soso bôlô.
Ɓèŋgɛ nyɛ màmaŋ ma dipı̀ga .	Béñge nye mamañ ma dipiga .
Dı̀ ǹtɔhlànà.	Di ntohlana.
Mɓɔ̀m kwɛ̂m̀.	Mbom kwem.
Kwɛ̀ɛ̀ màŋgɛ.	Kwee mañge.
Sɔ maŋ à yè hɛɛ?; sɔ maŋgɛ; sɔ ŋkɔ̀l; sɔ ŋkoma; sɔ mudàa; ɓàsɔ ɓɔŋgɛ; sɔ lôŋ; sɔ malêt.	So mañ a yé hee?; so mañge; so ñkol; so ñkôma; so mudaa; baso boñge; so lôñ; so malét.
Ǹtoŋ ɓahemlɛ̀ Nyambɛ̂, ǹtoŋ u gwêt.	Ntôñ bahémle Nyambe, ntôñ u gwét.
Lı̀kuk li kɔɔ.	Likuk li koo.
Ɓèbek i nta nyɛ.	Bébék i nta nye.
Mùt à gwèe mı̀s m[244]maà.	Mut a gwéé mis m[244]maa.
Lı̀ènèl ɓòt li ntɔ̀mb ɓee.	Liénél bôt li ntomb béé.
Kinjɛ̄ sı̄sigà ǹlend nû!	Kinje sisiga nlénd nu!
Ŋ̀udu à ŋkɛ̀ ɓe (i) sǔglù ŋgı̀ sao.	Ñudu a ñke bé (i) suglu ñgi saô.
Mùt num̂bɛɛ?	Mut numbee?
Ǹlòŋga (à ǹnɔ̂m) u nnɔ̂m ŋgandàk.	Nlôñga (a nnom) u nnom ñgandak.
Mùdàa à ŋ̀gwal man mùnlom.	Mudaa a ñgwal man munlôm.
ı̀ Wàŋan man.	i Wañan man.
Màsòs ma hikòa.	Masôs ma hikôa.
Ŋgàmbi ı̀ ŋkɔ̀ɔ̀ga kı̀i nyɔ̀ɔ.	Ñgambi i ñkooga kii nyoo.
Yòy i ye nı̀ ntèndèè ŋwɛl.	Yôy i yé ni nténdéé ñwel.
Mɛ̀ ŋkɛ̀ ɓee hàŋwaa lɛ ù ti mɛ mɔ̀ni.	Me ñke béé hañwaa le u ti me moni.
I ta ɓē lɔŋgɛ ı̄ ɓòŋòl lɛ̀mb i ŋûn.	I ta bé loñge i bôñôl lemb i ñun.
Bı̀jòl gwes...bi ye ŋgùy...i ɓōk dı̀koya di gwêt (2 Kɔ̀r. 10,4).	Bijôl gwés...bi yé ñguy...i bôk dikôya di gwét (2 Kor. 10,4).
Mùt nunu à ɓak ŋkot ndi à ŋ̀kahal ɓàbà.	Mut nunu a bak ñkôt ndi a ñkahal baba.
Mǎn sōnda à nhɛ̄m nseba.	Man sônda a nhem nséba.
Mɔ̀ni à yè hat dilɔ̄ dini (LLR).	Moni a yé hat dilo dini (LLR).
Ɓakēŋa à ǹsulūl mɛ̂.	Bakéña a nsulul me.
Sɔhɔ, ɓàmblɛ mɛ̀ mbɔt yɛ̂m i hyàŋgaa.	Soho, bamble me mbot yem i hyañgaa.
À m̂ɓol mɛ ŋgāmbi nı̀ lı̀sɛ̀.	A mbôl me ñgambi ni lise.
Màlep ma kûndlàk (lep u ŋkùndùl).	Malép ma kundlak (lép u ñkundul).
U u mɓandà.	U u mbanda.
Puba i licɛ̀ɛ.	Puba i litjee.
Puba i licɛ̀ɛ.	Puba i litjee.
Lı̀kɔ̀da li mbɔk.	Likoda li mbok.
Lı̀lom li lep.	Lilôm li lép.
Mbahâl inyùu bı̀hɛ̀là.	Mbahal inyuu bihela.
Ɓa mɓùŋgna ɓɔ nı̀ ɓɔ.	Ba mbuñgna bo ni bo.
Dı̀ɓuŋg di nnɔ̀ŋ mɛ̂.	Dibuñg di nnoñ me.
Nyùŋga ı̀ ǹtolōl mɛ̂ i ɓòm.	Nyuñga i ntôlôl me i bôm.
Lı̀tɔŋ li nyagà.	Litoñ li nyaga.
Ɓɔ̀kiŋwɛ̀glɛ̀ ɓa ntòl hana.	Bokiñwegle ba ntôl hana.
Ŋgɔ̀ Lı̀kèblà.	Ñgo Likébla.
Còŋ cɔŋ di ŋkòyòp.	Tjôñ tjoñ di ñkôyôp.
